num,company,hq,founded,golden,linkup,exa,perplexity,parallel
1,Altano Energy,"Madrid, Madrid, Spain",2021,$71M,$70M,$153M,$60M,$261M
2,Apricus Generation,"Boca Raton, Florida, United States",2023,$28M,$28M,$130M,$130M,$1.13B
3,Aurascape,"Santa Clara, California, United States",2024,$63M,$63M,$89M,$0M,$50M
4,Ayan,"London, England, United Kingdom",2023,$4M,$29M,$39M,$7M,$36M
5,BackOps AI,"San Francisco, California, United States",2024,$37M,$36M,$36M,$34M,$34M
6,Basis,"New York, New York, United States",2023,$138M,$138M,$138M,$138M,$196M
7,Baya Systems,"Santa Clara, California, United States",2023,$36M,$36M,$47M,$36M,$47M
8,BlackWall,"Tallinn, Harjumaa, Estonia",2019,$63M,$63M,$63M,$57M,$63M
9,Brandlight,"New York, New York, United States",2024,$36M,$36M,$36M,$36M,$36M
10,Bridgetown Research,"Seattle, Washington, United States",2023,$19M,$19M,$24M,$38M,$19M
11,C1 Green Chemicals,"Berlin, Berlin, Germany",2022,$22M,$26M,$27M,$28M,$28M
12,Cartesia,"San Francisco, California, United States",2023,$91M,$191M,$191M,$100M,$191M
13,Chariot Defense,"South San Francisco, California, United States",2024,$42M,$42M,$42M,$41M,$41M
14,Circuit,"Austin, Texas, United States",2024,$30M,$45M,$70M,$30M,$30M
15,Console,"San Francisco, California, United States",2024,$29M,$29M,$30M,$29M,$29M
16,Corintis,"Lausanne, Vaud, Switzerland",2022,$53M,$53M,$58M,$58M,$58M
17,Cosmon,"San Francisco, California, United States",2025,$31M,$31M,$31M,$31M,$31M
18,Daisy,"Costa Mesa, California, United States",2023,$33M,$42M,$35M,$35M,$35M
19,Datacurve,"San Francisco, California, United States",2024,$18M,$18M,$18M,$18M,$18M
20,DeepUll,"Barcelona, Catalonia, Spain",2019,$92M,$113M,$113M,$113M,$99M
21,Dify.AI,"Sunnyvale, California, United States",2023,$38M,$38M,$42M,$38M,$38M
22,Edurino,"Munich, Bayern, Germany",2021,$34M,$38M,$41M,$28M,$38M
23,Eranovum,"Madrid, Madrid, Spain",2019,$28M,$28M,$36M,$138700.00B,$139M
24,Eridu,"Saratoga, California, United States",2024,$200M,$230M,$230M,$200M,$230M
25,FYLD,"London, England, United Kingdom",2020,$88M,$88M,$79M,$80M,$143M
26,Fable,"San Francisco, California, United States",2024,$31M,$86M,$12M,$31M,$31M
27,Finary,"Paris, Ile-de-France, France",2020,$44M,$45M,$45M,$42M,$48M
28,Flink,"Berlin, Berlin, Germany",2020,$1.50B,$1.43B,$1.53B,$1.53B,$1.57B
