Altano Energy - headquartered in Madrid, Madrid, Spain, founded 2021-05-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Apricus Generation - headquartered in Boca Raton, Florida, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Aurascape - headquartered in Santa Clara, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Ayan - headquartered in London, England, United Kingdom, founded 2023-09-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
BackOps AI - headquartered in San Francisco, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Basis - headquartered in New York, New York, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Baya Systems - headquartered in Santa Clara, California, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
BlackWall - headquartered in Tallinn, Harjumaa, Estonia, founded 2019-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Brandlight - headquartered in New York, New York, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Bridgetown Research - headquartered in Seattle, Washington, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
C1 Green Chemicals - headquartered in Berlin, Berlin, Germany, founded 2022-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Cartesia - headquartered in San Francisco, California, United States, founded 2023-09-25. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Chariot Defense - headquartered in South San Francisco, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Circuit - headquartered in Austin, Texas, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Console - headquartered in San Francisco, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Corintis - headquartered in Lausanne, Vaud, Switzerland, founded 2022-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Cosmon - headquartered in San Francisco, California, United States, founded 2025-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Daisy - headquartered in Costa Mesa, California, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Datacurve - headquartered in San Francisco, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
DeepUll - headquartered in Barcelona, Catalonia, Spain, founded 2019-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Dify.AI - headquartered in Sunnyvale, California, United States, founded 2023-03-20. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Edurino - headquartered in Munich, Bayern, Germany, founded 2021-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Eranovum - headquartered in Madrid, Madrid, Spain, founded 2019-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Eridu - headquartered in Saratoga, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
FYLD - headquartered in London, England, United Kingdom, founded 2020-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Fable - headquartered in San Francisco, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Finary - headquartered in Paris, Ile-de-France, France, founded 2020-12-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Flink - headquartered in Berlin, Berlin, Germany, founded 2020-09-18. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Fortuna Health - headquartered in New York, New York, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Fractile - headquartered in London, England, United Kingdom, founded 2022-06-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Frontera Health - headquartered in Denver, Colorado, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Genomines - headquartered in Paris, Ile-de-France, France, founded 2021-03-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Grand Slam Track - headquartered in Playa Del Rey, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
GravitHy - headquartered in Marseille, Provence-Alpes-Cote d'Azur, France, founded 2022-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Gray Swan - headquartered in Pittsburgh, Pennsylvania, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
HavocAI - headquartered in Providence, Rhode Island, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Heat2Power - headquartered in Ann Arbor, Michigan, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
HolaCamp - headquartered in Barcelona, Catalonia, Spain, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Holyvolt - headquartered in Stockholm, Stockholms Lan, Sweden, founded 2022-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Inversion - headquartered in New York, New York, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
JAAQ - headquartered in London, England, United Kingdom, founded 2021-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
LIS Technologies - headquartered in New York, New York, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Lettuce Financial - headquartered in San Francisco, California, United States, founded 2023-05-24. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Luel - headquartered in San Francisco, California, United States, founded 2025-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
MagREEsource - headquartered in Grenoble, Rhone-Alpes, France, founded 2020-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
MainFunc - headquartered in Palo Alto, California, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Maki - headquartered in Paris, Ile-de-France, France, founded 2021-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Mercanis - headquartered in Berlin, Berlin, Germany, founded 2020-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Monarch Quantum - headquartered in San Diego, California, United States, founded 2025-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Multifactor - headquartered in San Francisco, California, United States, founded 2025-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Multiverse Computing - headquartered in Donostia-san Sebastián, Pais Vasco, Spain, founded 2019-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
NORNORM - headquartered in Copenhagen, Hovedstaden, Denmark, founded 2020-08-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Naboo - headquartered in Paris, Ile-de-France, France, founded 2021-10-21. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Nelly - headquartered in Berlin, Berlin, Germany, founded 2021-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Neumirna Therapeutics - headquartered in Copenhagen, Hovedstaden, Denmark, founded 2020-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Nominal - headquartered in New York, New York, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Northwood Space - headquartered in Torrance, California, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
NuCube Energy - headquartered in Idaho Falls, Idaho, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Pace - headquartered in New York, New York, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Pelico - headquartered in Paris, Ile-de-France, France, founded 2019-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Phagos - headquartered in Paris, Ile-de-France, France, founded 2021-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Pinnacle Medicines - headquartered in Doylestown, Pennsylvania, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Presto - headquartered in Oakland, California, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Prime Intellect - headquartered in San Francisco, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Promptfoo - headquartered in San Francisco, California, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Quantix EdgeS - headquartered in Murcia, Murcia, Spain, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
RIFT - headquartered in Eindhoven, Noord-Brabant, The Netherlands, founded 2020-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Remittix - headquartered in New York, New York, United States, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Rerun - headquartered in Stockholm, Stockholms Lan, Sweden, founded 2022-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
RevEng - headquartered in London, England, United Kingdom, founded 2022-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Rivan Industries - headquartered in Lewisham, Lewisham, United Kingdom, founded 2022-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
SWEBAL - headquartered in Stockholm, Stockholms Lan, Sweden, founded 2024-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
SafetyKit - headquartered in San Francisco, California, United States, founded 2023-05-24. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Salient - headquartered in San Francisco, California, United States, founded 2023-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Saltz - headquartered in Vilnius, Vilniaus Apskritis, Lithuania, founded 2022-01-01. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
Saturn AI - headquartered in London, England, United Kingdom, founded 2023-07-13. Find this company's total funding raised to date (sum of all rounds) and its latest known valuation, with a source.
